Owner,Repository,Stars,Created At,Last Updated,Primary Language,Releases,Open Issues,Closed Issues,Closed Issues Ratio,Merged Pull Requests
freeCodeCamp,freeCodeCamp,426781,2014-12-24T17:49:19Z,2025-08-29T13:40:47Z,TypeScript,0,191,19655,0.99,25759
codecrafters-io,build-your-own-x,415049,2018-05-09T12:03:18Z,2025-08-29T14:09:44Z,Markdown,0,231,595,0.72,143
sindresorhus,awesome,395836,2014-07-11T13:42:37Z,2025-08-29T14:11:28Z,Unknown,0,14,340,0.96,679
EbookFoundation,free-programming-books,366700,2013-10-11T06:50:37Z,2025-08-29T13:50:14Z,Python,0,30,1152,0.97,6822
public-apis,public-apis,363296,2016-03-20T23:49:42Z,2025-08-29T14:04:17Z,Python,0,13,704,0.98,1872
kamranahmedse,developer-roadmap,334911,2017-03-15T13:45:52Z,2025-08-29T13:48:43Z,TypeScript,1,251,2693,0.91,3699
jwasham,coding-interview-university,325391,2016-06-06T02:34:12Z,2025-08-29T14:06:27Z,Unknown,0,63,453,0.88,415
donnemartin,system-design-primer,317963,2017-02-26T16:15:28Z,2025-08-29T14:10:27Z,Python,0,250,91,0.27,200
996icu,996.ICU,274197,2019-03-26T07:31:14Z,2025-08-29T13:53:24Z,Unknown,0,0,0,0.00,1071
vinta,awesome-python,257287,2014-06-27T21:00:06Z,2025-08-29T14:01:54Z,Python,0,0,0,0.00,544
awesome-selfhosted,awesome-selfhosted,244244,2015-06-01T02:33:17Z,2025-08-29T13:57:35Z,Unknown,1,0,806,1.00,2394
practical-tutorials,project-based-learning,241657,2017-04-12T05:07:46Z,2025-08-29T13:59:37Z,Unknown,0,131,80,0.38,182
facebook,react,238469,2013-05-24T16:15:54Z,2025-08-29T13:45:07Z,JavaScript,105,805,13214,0.94,12163
vuejs,vue,209310,2013-07-29T03:24:51Z,2025-08-29T09:18:00Z,TypeScript,249,355,9673,0.96,1133
TheAlgorithms,Python,205016,2016-07-16T09:44:01Z,2025-08-29T14:13:38Z,Python,0,70,1522,0.96,2997
torvalds,linux,200950,2011-09-04T22:48:12Z,2025-08-29T14:09:25Z,C,0,0,0,0.00,10
trekhleb,javascript-algorithms,193116,2018-03-24T07:47:04Z,2025-08-29T13:33:58Z,JavaScript,0,137,229,0.63,302
tensorflow,tensorflow,191378,2015-11-07T01:19:20Z,2025-08-29T13:38:44Z,C++,219,894,39863,0.98,36205
ossu,computer-science,191193,2014-05-04T00:18:39Z,2025-08-29T14:00:49Z,HTML,0,14,638,0.98,299
trimstray,the-book-of-secret-knowledge,184072,2018-06-23T10:43:14Z,2025-08-29T14:10:39Z,Unknown,0,0,0,0.00,122
getify,You-Dont-Know-JS,183085,2013-11-16T02:37:24Z,2025-08-29T13:34:56Z,Unknown,0,81,863,0.91,368
CyC2018,CS-Notes,181625,2018-02-13T14:56:24Z,2025-08-29T11:43:29Z,Unknown,0,123,448,0.78,374
ohmyzsh,ohmyzsh,181030,2009-08-28T18:15:37Z,2025-08-29T14:02:37Z,Shell,0,138,4826,0.97,3380
Significant-Gravitas,AutoGPT,178139,2023-03-16T09:21:07Z,2025-08-29T14:08:35Z,Python,69,163,3248,0.95,3235
microsoft,vscode,176192,2015-09-03T20:23:38Z,2025-08-29T14:03:33Z,TypeScript,177,12261,194017,0.94,36471
twbs,bootstrap,173189,2011-07-29T21:19:00Z,2025-08-29T13:40:16Z,MDX,94,409,22349,0.98,8997
flutter,flutter,172180,2015-03-06T22:54:58Z,2025-08-29T13:07:47Z,Dart,7,11958,97084,0.89,43983
jackfrued,Python-100-Days,171524,2018-03-01T16:05:52Z,2025-08-29T13:37:40Z,Jupyter Notebook,0,573,118,0.17,13
github,gitignore,168977,2010-11-08T20:17:14Z,2025-08-29T13:21:24Z,Unknown,0,0,0,0.00,1719
jlevy,the-art-of-command-line,157938,2015-05-20T15:11:03Z,2025-08-29T13:23:00Z,Unknown,0,122,136,0.53,317
AUTOMATIC1111,stable-diffusion-webui,156012,2022-08-22T14:05:26Z,2025-08-29T13:41:05Z,Python,27,2366,5468,0.70,1874
Snailclimb,JavaGuide,151472,2018-05-07T13:27:00Z,2025-08-29T13:41:51Z,Java,0,72,1032,0.93,1184
ollama,ollama,151175,2023-06-26T19:39:32Z,2025-08-29T14:03:09Z,Go,145,1797,6273,0.78,2482
avelino,awesome-go,151102,2014-07-06T13:42:15Z,2025-08-29T14:02:58Z,Go,0,6,682,0.99,3460
huggingface,transformers,148948,2018-10-29T13:56:00Z,2025-08-29T13:49:21Z,Python,224,1081,16770,0.94,16769
airbnb,javascript,147320,2012-11-01T23:13:50Z,2025-08-29T09:43:10Z,JavaScript,0,98,1271,0.93,810
massgravel,Microsoft-Activation-Scripts,146339,2020-01-12T23:03:34Z,2025-08-29T14:10:59Z,Batchfile,24,0,726,1.00,6
ytdl-org,youtube-dl,137095,2010-10-31T14:35:07Z,2025-08-29T14:13:35Z,Python,341,3647,23123,0.86,1642
vercel,next.js,134072,2016-10-05T23:32:51Z,2025-08-29T13:50:32Z,JavaScript,1000,2307,21117,0.90,23771
n8n-io,n8n,133622,2019-06-22T09:24:21Z,2025-08-29T14:14:42Z,TypeScript,386,651,4667,0.88,10753
f,awesome-chatgpt-prompts,133358,2022-12-05T13:54:13Z,2025-08-29T13:59:02Z,JavaScript,0,0,0,0.00,171
golang,go,129644,2014-08-19T04:33:40Z,2025-08-29T13:47:43Z,Go,0,9191,58809,0.86,1
yangshun,tech-interview-handbook,129291,2016-07-05T05:00:48Z,2025-08-29T13:33:01Z,TypeScript,0,41,74,0.64,482
labuladong,fucking-algorithm,129100,2020-02-19T09:01:23Z,2025-08-29T14:07:04Z,Markdown,1,1,920,1.00,238
Genymobile,scrcpy,127252,2017-11-21T18:00:27Z,2025-08-29T14:14:04Z,C,47,2454,3181,0.56,113
521xueweihan,HelloGitHub,126630,2016-05-04T06:24:11Z,2025-08-29T14:10:49Z,Python,57,195,2648,0.93,16
Chalarangelo,30-seconds-of-code,125129,2017-11-29T17:35:03Z,2025-08-29T13:46:47Z,JavaScript,12,0,300,1.00,827
yt-dlp,yt-dlp,124565,2020-10-26T04:22:55Z,2025-08-29T14:11:08Z,Python,119,1607,8209,0.84,2920
facebook,react-native,123583,2015-01-09T18:10:16Z,2025-08-29T13:29:34Z,C++,410,656,26554,0.98,933
microsoft,PowerToys,122712,2019-05-01T17:44:02Z,2025-08-29T14:06:53Z,C#,117,7009,27651,0.80,5686
electron,electron,118080,2013-04-12T01:47:36Z,2025-08-29T14:14:07Z,C++,1000,754,20311,0.96,23307
kubernetes,kubernetes,117143,2014-06-06T22:56:04Z,2025-08-29T14:03:21Z,Go,756,1888,45848,0.96,62330
krahets,hello-algo,115896,2022-11-04T11:08:34Z,2025-08-29T13:28:48Z,Java,9,12,258,0.96,946
justjavac,free-programming-books-zh_CN,115089,2013-11-04T01:59:19Z,2025-08-29T11:21:21Z,Unknown,3,0,0,0.00,282
langchain-ai,langchain,114444,2022-10-17T02:58:36Z,2025-08-29T13:56:06Z,Jupyter Notebook,956,226,8437,0.97,14534
nodejs,node,112993,2014-11-26T19:57:11Z,2025-08-29T12:37:12Z,JavaScript,457,1728,17758,0.91,10806
langgenius,dify,112501,2023-04-12T07:40:24Z,2025-08-29T14:05:20Z,TypeScript,141,601,12195,0.95,7231
d3,d3,111373,2010-09-27T17:22:42Z,2025-08-29T13:12:46Z,Shell,194,9,2220,1.00,493
ripienaar,free-for-dev,111055,2015-03-18T21:06:26Z,2025-08-29T13:46:41Z,HTML,0,0,0,0.00,2763
mrdoob,three.js,108316,2010-03-23T18:58:01Z,2025-08-29T14:06:49Z,JavaScript,171,452,12743,0.97,14439
open-webui,open-webui,108302,2023-10-06T22:08:27Z,2025-08-29T14:11:30Z,JavaScript,123,213,6051,0.97,2551
langflow-ai,langflow,108008,2023-02-08T22:28:03Z,2025-08-29T14:10:42Z,Python,263,432,2289,0.84,4683
axios,axios,107499,2014-08-18T22:30:27Z,2025-08-29T13:32:45Z,JavaScript,97,201,4644,0.96,1002
excalidraw,excalidraw,106162,2020-01-02T01:04:43Z,2025-08-29T13:24:29Z,TypeScript,14,1847,2407,0.57,3703
rust-lang,rust,106097,2010-06-16T20:39:03Z,2025-08-29T12:55:49Z,Rust,140,10623,48689,0.82,65819
microsoft,TypeScript,105754,2014-06-17T15:28:39Z,2025-08-29T13:21:24Z,TypeScript,212,5586,36893,0.87,14677
denoland,deno,104051,2018-05-15T01:34:26Z,2025-08-29T09:57:42Z,Rust,342,2278,10936,0.83,13370
goldbergyoni,nodebestpractices,104019,2017-09-15T08:33:19Z,2025-08-29T10:04:13Z,Dockerfile,0,43,285,0.87,765
facebook,create-react-app,103482,2016-07-17T14:55:11Z,2025-08-29T12:27:20Z,JavaScript,83,1835,6567,0.78,1949
GrowingGit,GitHub-Chinese-Top-Charts,101656,2019-09-05T03:01:56Z,2025-08-29T13:42:02Z,Java,0,179,161,0.47,0
godotengine,godot,100688,2014-01-04T16:05:36Z,2025-08-29T14:05:31Z,C++,61,12118,46094,0.79,38760
microsoft,terminal,99660,2017-08-11T18:38:22Z,2025-08-29T14:05:22Z,C++,138,1601,11876,0.88,4201
deepseek-ai,DeepSeek-V3,99061,2024-12-26T09:52:40Z,2025-08-29T14:09:55Z,Python,1,31,566,0.95,24
